시도명,학교ID,개방ID,시도교육청명,학교명,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경북,B000007395,5659730911,경상북도교육청,감천초등학교,71,58,47,37,36,43,49,48,45,44,42,40,46,46,41
경북,B000007040,1388089895,경상북도교육청,감천초등학교,52,41,39,33,28,35,29,37,42,44,46,46,48,46,45
강원,B000004824,4392260551,강원특별자치도교육청,교동초등학교,331,283,227,212,200,176,167,152,155,137,122,116,96,85,81
강원,B000004918,8059256553,강원특별자치도교육청,교동초등학교,655,625,585,541,502,491,458,436,400,404,402,382,363,325,301
강원,B000004877,9949955344,강원특별자치도교육청,교동초등학교,687,613,536,487,445,425,394,375,385,355,366,363,366,353,326
강원,B000004987,9189252972,강원특별자치도교육청,교동초등학교,1680,1542,1407,1334,1208,1177,1095,1001,954,947,919,840,805,800,770
경남,B000007542,7779801487,경상남도교육청,구산초등학교,59,48,37,30,22,16,11,11,16,14,12,15,20,33,44
경남,B000007653,3003649830,경상남도교육청,구산초등학교,1176,1116,1018,908,780,699,658,624,595,550,548,512,490,455,423
경남,B000007590,9274815976,경상남도교육청,금산초등학교,1353,1319,1230,1182,1132,1058,955,895,911,874,864,735,710,672,607
경남,B000007676,8396785199,경상남도교육청,금산초등학교,79,66,79,95,112,124,138,137,137,145,124,96,79,67,58
충남,B000005669,8127098739,충청남도교육청,금성초등학교,152,138,116,122,104,98,99,112,110,93,97,81,90,69,71
전남,B000006581,3177381873,전라남도교육청,금성초등학교,66,62,50,52,50,56,55,46,48,48,49,49,50,44,42
충남,B000005728,7981485366,충청남도교육청,금성초등학교,74,75,68,73,75,69,70,61,59,54,54,44,41,39,33
경북,B000007257,9460578262,경상북도교육청,남산초등학교,58,58,70,91,98,86,88,102,96,101,106,106,110,112,114
경북,B000007138,3603153049,경상북도교육청,남산초등학교,1158,1044,940,854,738,664,586,522,450,424,409,383,364,342,313
강원,B000005034,1354878783,강원특별자치도교육청,남산초등학교,1292,1182,1122,1038,938,928,912,908,892,876,878,815,769,739,798
강원,B000004922,8121860384,강원특별자치도교육청,남산초등학교,725,691,652,624,567,513,514,487,478,492,512,505,465,429,387
강원,B000004856,4330835282,강원특별자치도교육청,남산초등학교,121,116,116,111,96,79,75,76,82,74,73,77,71,59,55
경북,B000007238,7424658238,경상북도교육청,남성초등학교,63,71,77,72,78,92,87,80,86,93,87,84,73,78,66
경북,B000006950,5363978743,경상북도교육청,남성초등학교,40,36,33,33,30,22,22,20,19,19,20,34,46,43,37
경남,B000007629,3250314891,경상남도교육청,남양초등학교,275,255,244,226,221,214,201,201,181,179,170,142,134,125,110
경남,B000007493,5311932623,경상남도교육청,남양초등학교,1645,1539,1497,1404,1326,1303,1282,1265,1257,1239,1216,1123,1052,1001,978
경남,B000007490,9615362644,경상남도교육청,남정초등학교,586,499,430,380,346,315,236,215,212,377,439,477,518,552,599
경남,B000007947,2368968367,경상남도교육청,남정초등학교,261,243,186,149,116,104,92,80,71,67,76,62,69,62,57
경남,B000007486,5045343577,경상남도교육청,내동초등학교,676,644,540,480,413,393,342,331,330,328,308,282,264,265,275
경남,B000007579,5207940697,경상남도교육청,내동초등학교,31,33,141,166,202,213,224,231,223,225,230,231,231,225,217
경북,B000007255,2135454177,경상북도교육청,대동초등학교,61,54,49,43,29,21,28,30,34,20,27,29,32,43,46
경남,B000007634,4427085280,경상남도교육청,대방초등학교,190,183,164,149,137,136,125,126,131,128,116,102,101,98,85
경남,B000007494,2172087788,경상남도교육청,대방초등학교,1339,1200,1115,997,944,881,861,841,814,800,804,731,697,670,643
경남,B000007790,1114922463,경상남도교육청,대산초등학교,165,146,129,109,94,96,95,78,72,67,63,52,44,39,35
경남,B000007545,8229294121,경상남도교육청,대산초등학교,224,188,178,147,117,100,90,75,80,66,82,85,85,88,77
경남,B000007853,8535708606,경상남도교육청,대성초등학교,666,609,552,537,512,495,530,525,550,531,522,470,440,419,372
경남,B000007630,4634682357,경상남도교육청,대성초등학교,185,163,167,169,165,174,183,176,180,195,204,203,213,242,243
경남,B000007908,9147985041,경상남도교육청,덕산초등학교,201,168,156,150,136,136,122,106,102,96,112,100,89,88,75
경남,B000007514,5000348985,경상남도교육청,덕산초등학교,1269,1193,1185,1145,1150,1140,1202,1197,1146,1139,1104,1019,934,874,848
경남,B000007607,6090312898,경상남도교육청,도산초등학교,106,98,81,66,59,53,51,47,52,52,57,52,48,51,48
경남,B000007814,3243466675,경상남도교육청,도천초등학교,124,112,98,87,87,79,79,62,63,52,54,42,32,34,37
경남,B000007506,2388307631,경상남도교육청,도천초등학교,800,751,1025,1031,1045,1001,962,896,896,896,831,774,760,694,665
전남,B000006543,7610483288,전라남도교육청,동강초등학교,163,144,113,99,91,83,78,68,72,84,78,80,78,79,61
전남,B000006617,8494698166,전라남도교육청,동강초등학교,114,97,95,72,64,57,50,44,38,36,35,34,32,36,38
경남,B000007510,5984870433,경상남도교육청,동부초등학교,1126,1046,992,913,877,833,800,762,748,710,651,582,514,509,481
경남,B000007755,1635607898,경상남도교육청,동부초등학교,153,133,107,85,87,79,80,72,74,71,68,58,59,61,54
경남,B000007502,7520927011,경상남도교육청,동산초등학교,873,789,721,657,560,523,504,457,434,428,406,364,341,339,315
경남,B000007842,5539329230,경상남도교육청,동산초등학교,366,307,297,417,378,395,398,418,454,458,447,404,392,383,343
강원,B000004866,8698982179,강원특별자치도교육청,반곡초등학교,882,1078,1182,1285,1281,1257,1328,1304,1254,1172,1177,1161,1095,1128,1128
전남,B000006804,7061060130,전라남도교육청,북일초등학교,111,109,94,80,70,56,54,49,40,32,29,26,22,55,47
강원,B000005141,2237509548,강원특별자치도교육청,북평초등학교,100,100,104,87,72,68,64,72,64,66,72,61,54,41,31
강원,B000004957,7398168742,강원특별자치도교육청,북평초등학교,833,787,763,679,596,542,509,452,419,438,468,499,607,642,697
경남,B000007655,2127574920,경상남도교육청,삼계초등학교,1262,1245,1188,1110,1047,989,939,865,831,771,698,637,685,895,953
경남,B000007528,8724758207,경상남도교육청,삼계초등학교,1515,1356,1236,1119,979,909,849,801,759,728,713,687,638,632,595
경남,B000007643,4662140130,경상남도교육청,삼성초등학교,856,744,645,568,485,420,390,389,372,357,332,300,294,284,262
경남,B000007823,4306465268,경상남도교육청,삼성초등학교,814,852,466,480,487,523,566,589,630,637,651,640,644,638,606
경기,B000004702,9431079864,경기도교육청,삼성초등학교,52,51,61,64,69,73,73,78,80,73,71,79,80,87,76
경기,B000003844,7429539322,경기도교육청,삼성초등학교,1580,1485,1423,1359,1264,1217,1217,1162,1144,1118,1104,1001,928,865,861
경남,B000007456,7829133212,경상남도교육청,상남초등학교,275,239,204,178,148,140,124,112,110,105,98,76,68,64,48
경남,B000007847,3379376351,경상남도교육청,상북초등학교,606,541,469,399,363,372,342,334,306,282,248,221,193,193,184
경남,B000007480,3966803729,경상남도교육청,상북초등학교,889,719,676,602,536,476,445,413,401,405,370,349,337,312,270
경기,B000003732,8786296129,경기도교육청,상원초등학교,904,865,799,727,676,659,646,638,638,631,603,531,499,464,413
경기,B000003780,3850700557,경기도교육청,상원초등학교,1416,1235,1062,952,821,754,744,676,646,597,564,516,475,440,382
경기,B000003777,4663303136,경기도교육청,석천초등학교,1793,1686,1567,1387,1266,1224,1201,1108,1079,1064,1022,979,977,960,945
경기,B000004206,1637597024,경기도교육청,석천초등학교,299,264,259,236,236,214,228,194,184,170,138,123,121,104,95
강원,B000005047,7054694175,강원특별자치도교육청,속초초등학교,61,53,54,46,45,45,49,43,45,48,46,45,48,51,51
강원,B000004978,6669238746,강원특별자치도교육청,속초초등학교,688,600,529,463,383,323,286,242,229,245,233,230,214,203,192
부산,B000024215,7302380084,부산광역시교육청,송정초등학교,0,0,0,0,0,0,0,0,399,502,564,605,713,848,843
부산,B000002675,2446760475,부산광역시교육청,송정초등학교,342,320,369,346,341,316,319,318,313,313,305,296,290,296,280
경북,B000007087,4967762291,경상북도교육청,신기초등학교,178,145,128,102,98,88,85,90,82,79,74,67,66,56,50
경북,B000007218,5039863288,경상북도교육청,신기초등학교,59,69,61,66,72,69,68,73,64,54,56,43,37,34,34
강원,B000024231,4792477786,강원특별자치도교육청,신동초등학교,317,283,246,229,210,264,269,293,303,283,284,276,279,357,405
경남,B000007569,3376732230,경상남도교육청,신안초등학교,1196,1093,1009,906,817,756,690,614,579,574,524,483,480,468,430
경남,B000007912,9863477706,경상남도교육청,신안초등학교,303,312,300,290,284,269,262,243,252,243,214,196,180,176,172
경북,B000007102,8948817610,경상북도교육청,양포초등학교,1542,1365,1256,1127,1047,1014,962,864,852,750,743,669,651,624,566
경북,B000006954,8569061338,경상북도교육청,양포초등학교,49,48,42,46,37,33,34,31,23,19,22,28,32,37,41
경기,B000004243,3193618357,경기도교육청,오산초등학교,1279,1135,1066,1008,938,890,854,817,795,752,722,662,613,584,542
경기,B000004447,2514807581,경기도교육청,오산초등학교,149,96,75,63,65,52,53,55,58,62,66,70,79,64,59
전남,B000006841,3708526849,전라남도교육청,오산초등학교,100,110,103,83,89,87,79,75,78,89,82,82,85,88,79
경북,B000006984,9215783774,경상북도교육청,옥산초등학교,76,83,79,73,73,66,75,80,75,65,54,50,45,40,30
경북,B000007186,6075141251,경상북도교육청,옥산초등학교,127,109,104,94,99,85,72,67,59,67,59,51,48,47,40
경남,B000007611,8664337158,경상남도교육청,용남초등학교,486,454,432,452,414,418,438,578,687,708,748,726,701,655,602
경남,B000007471,1200247824,경상남도교육청,용남초등학교,1555,1412,1311,1188,1086,1058,987,914,858,795,782,706,653,605,577
경남,B000007707,2493268370,경상남도교육청,용산초등학교,144,146,146,128,111,96,82,63,64,68,63,58,52,48,53
경남,B000007631,9963820219,경상남도교육청,용산초등학교,890,838,782,756,707,660,649,678,685,664,635,569,493,412,362
경북,B000006911,4246965825,경상북도교육청,용흥초등학교,328,298,261,232,195,175,158,139,115,102,98,88,79,86,86
경남,B000007548,8253137886,경상남도교육청,우암초등학교,57,52,61,77,91,94,103,117,107,105,90,82,74,89,82
경남,B000007667,6705449640,경상남도교육청,우암초등학교,1289,1204,1085,996,879,787,703,624,569,521,502,456,427,420,456
경기,B000003894,6719023227,경기도교육청,원일초등학교,753,599,550,512,446,427,409,383,351,315,308,440,559,563,589
경기,B000003687,5618899106,경기도교육청,원일초등학교,1144,1093,1054,1000,905,847,812,789,753,715,637,611,531,454,427
경북,B000007394,7279102802,경상북도교육청,유천초등학교,55,61,78,93,93,94,90,96,91,77,63,56,53,62,48
강원,B000004982,8561446547,강원특별자치도교육청,조양초등학교,565,575,565,501,496,433,403,356,337,326,363,368,347,382,382
강원,B000004851,9153895020,강원특별자치도교육청,조양초등학교,52,49,53,53,56,56,66,66,67,65,59,60,59,60,47
강원,B000004977,9427915394,강원특별자치도교육청,중앙초등학교,126,105,97,82,71,74,127,147,154,296,366,407,423,412,425
강원,B000004826,1974684715,강원특별자치도교육청,중앙초등학교,469,449,404,362,329,304,280,240,223,259,286,268,261,254,278
강원,B000004863,6505026936,강원특별자치도교육청,중앙초등학교,575,509,398,362,334,314,282,260,250,247,223,205,203,187,173
강원,B000004916,5872217655,강원특별자치도교육청,중앙초등학교,1764,1802,1734,1710,1625,1589,1501,1374,1324,1258,1129,982,945,865,825
경기,B000003920,4802567183,경기도교육청,초당초등학교,2042,1924,1793,1656,1521,1422,1399,1323,1319,1333,1325,1240,1210,1158,1057
경기,B000003974,2291815161,경기도교육청,초당초등학교,890,902,917,863,873,922,979,1022,1039,1049,1034,959,915,818,773
경기,B000003642,5313879370,경기도교육청,탑동초등학교,1346,1283,1259,1124,1045,992,962,898,843,809,779,717,658,610,584
경기,B000004724,6012362003,경기도교육청,탑동초등학교,77,73,87,108,168,185,181,186,172,159,132,112,100,91,95
경남,B000007485,4932731568,경상남도교육청,평산초등학교,1136,1056,972,884,812,780,750,685,652,628,606,468,458,459,445
경남,B000007835,8832080364,경상남도교육청,평산초등학교,828,870,892,858,872,840,821,762,753,741,709,707,670,663,622
경남,B000007539,7106910347,경상남도교육청,하북초등학교,125,116,106,92,85,72,62,56,56,45,55,48,52,46,42
경남,B000007850,7579760730,경상남도교육청,하북초등학교,440,400,369,323,268,231,226,206,194,176,172,148,124,113,105
경남,B000007656,8716285645,경상남도교육청,화정초등학교,1365,1370,1313,1256,1203,1331,1338,1303,1332,1291,1251,1180,1094,1030,952
