,입학정원,입학정원,모집인원,모집인원,지원자,지원자,지원자,지원자,지원자,지원자,지원자,지원자,지원자,입학자,입학자,입학자,입학자,입학자,입학자,입학자,입학자,입학자
,정원내,정원외,정원내,정원외,지원자 계,지원자 계,지원자 계,정원 내 지원자 계,정원 내 지원자 계,정원 내 지원자 계,정원 외 지원자 계,정원 외 지원자 계,정원 외 지원자 계,입학자 계,입학자 계,입학자 계,정원 내 입학자 계,정원 내 입학자 계,정원 내 입학자 계,정원 외 입학자 계,정원 외 입학자 계,정원 외 입학자 계
,정원내,정원외,정원내,정원외,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자
2014,"1,678",0,"1,662",80,"35,177","23,691","11,486","33,912","22,963","10,949","1,265",728,537,"1,749","1,166",583,"1,661","1,114",547,88,52,36
2015,"2,350",0,"2,307",102,"52,263","34,817","17,446","50,875","33,980","16,895","1,388",837,551,"2,408","1,646",762,"2,303","1,579",724,105,67,38
2016,"2,310",0,"2,311",102,"56,143","36,539","19,604","54,725","35,799","18,926","1,418",740,678,"2,421","1,574",847,"2,311","1,519",792,110,55,55
2017,"2,310",0,"2,311",102,"56,143","36,539","19,604","54,725","35,799","18,926","1,418",740,678,"2,421","1,574",847,"2,311","1,519",792,110,55,55
2018,"2,609",0,"2,588",108,"65,201","41,636","23,565","63,740","40,889","22,851","1,461",747,714,"2,701","1,710",991,"2,590","1,667",923,111,43,68
2019,"2,954",0,"2,951",114,"66,764","42,125","24,639","65,138","41,317","23,821","1,626",808,818,"3,067","2,011","1,056","2,952","1,966",986,115,45,70
2020,"2,954",0,"2,952",125,"70,719","44,485","26,234","68,870","43,600","25,270","1,849",885,964,"3,084","2,003","1,081","2,957","1,948","1,009",127,55,72
2021,"2,978",0,"2,977",116,"74,241","45,826","28,415","72,027","44,755","27,272","2,214","1,071","1,143","3,099","2,011","1,088","2,981","1,963","1,018",118,48,70
2022,"3,018",0,"3,013",117,"79,204","49,133","30,071","76,935","47,923","29,012","2,269","1,210","1,059","3,136","2,026","1,110","3,015","1,954","1,061",121,72,49
2023,"3,018",0,"3,014",128,"74,537","46,347","28,190","72,325","45,271","27,054","2,212","1,076","1,136","3,148","1,990","1,158","3,016","1,925","1,091",132,65,67