index,Nat,Team,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Twizzle,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
1,ğŸ‡ºğŸ‡¸,Chock / Bates 3,0,0,3,0,0,213.81n=3,78.61n=3,120.01n=3,94.14n=3,9.67n=6,11.88n=6,4.71n=12,9.44n=6,9.43n=6,9.35n=6
2,ğŸ‡¬ğŸ‡§,Fear / Gibson 2,0,2,3,0,0,206.49n=5,75.86n=5,115.43n=5,91.26n=5,9.18n=10,10.85n=10,4.97n=20,9.16n=10,9.26n=10,8.98n=10
3,ğŸ‡®ğŸ‡¹,Guignard / Fabbri 1,0,1,3,0,0,204.99n=4,76.74n=4,113.44n=4,91.80n=4,9.25n=8,10.38n=8,4.62n=16,9.26n=8,9.21n=8,9.14n=8
4,ğŸ‡¨ğŸ‡¦,Gilles / Poirier 4,0,0,3,0,0,204.97n=3,76.82n=3,114.26n=3,91.37n=3,8.76n=6,11.63n=6,4.94n=12,9.20n=6,9.18n=6,9.04n=6
5,ğŸ‡¨ğŸ‡¦,Lajoie / Lagha 6,0,0,3,0,0,201.63n=3,77.86n=3,114.20n=3,87.77n=3,9.50n=6,11.10n=6,4.39n=12,8.78n=6,8.82n=6,8.65n=6
6,ğŸ‡ºğŸ‡¸,Carreira / Ponomarenko 8,0,2,2,0,0,197.34n=4,77.08n=4,111.04n=4,86.30n=4,9.17n=8,10.69n=8,4.33n=16,8.66n=8,8.67n=8,8.56n=8
7,ğŸ‡«ğŸ‡·,Lopareva / Brissaud 5,0,2,3,0,0,197.25n=5,75.94n=5,111.23n=5,86.21n=5,9.16n=10,10.69n=10,4.50n=20,8.67n=10,8.64n=10,8.54n=10
8,ğŸ‡ºğŸ‡¸,Zingas / Kolesnik 15,0,2,2,0,0,192.32n=4,74.72n=4,108.03n=4,84.30n=4,7.77n=8,10.30n=8,4.44n=16,8.47n=8,8.52n=8,8.28n=8
9,ğŸ‡«ğŸ‡®,Turkkila / Versluis 10,0,2,2,0,0,191.06n=4,73.77n=4,106.25n=4,85.06n=4,8.42n=8,10.37n=8,4.38n=16,8.58n=8,8.56n=8,8.35n=8
10,ğŸ‡±ğŸ‡¹,Reed / AmbruleviÄius 7,0,1,2,0,0,190.23n=3,76.33n=3,105.65n=3,84.58n=3,8.97n=6,10.25n=6,3.71n=12,8.55n=6,8.46n=6,8.37n=6
11,ğŸ‡ºğŸ‡¸,Green / Parsons 13,0,1,2,0,0,188.36n=3,75.07n=3,104.78n=3,83.58n=3,8.37n=6,10.02n=6,4.08n=12,8.36n=6,8.38n=6,8.28n=6
12,ğŸ‡¨ğŸ‡¿,Taschlerova / Taschler 11,0,2,2,0,0,187.85n=4,75.02n=4,104.76n=4,83.34n=4,8.26n=8,10.41n=8,3.73n=16,8.29n=8,8.32n=8,8.39n=8
13,ğŸ‡¬ğŸ‡ª,Davis / Smolkin 21,0,2,2,0,0,187.64n=4,75.21n=4,105.22n=4,82.42n=4,8.47n=8,10.08n=8,3.91n=16,8.25n=8,8.24n=8,8.19n=8
14,ğŸ‡ªğŸ‡¸,Smart / Dieck 19,0,2,2,0,0,186.87n=4,74.94n=4,104.22n=4,83.15n=4,8.21n=8,9.85n=8,4.03n=15,8.36n=8,8.37n=8,8.18n=8
15,ğŸ‡ºğŸ‡¸,Bratti / Somerville 22,0,2,2,0,0,184.93n=4,74.89n=4,104.07n=4,81.12n=4,7.55n=8,10.32n=8,4.06n=16,8.08n=8,8.16n=8,8.07n=8
16,ğŸ‡¨ğŸ‡¿,MrÃ¡zkovÃ¡ / MrÃ¡zek 17,0,2,2,0,0,183.00n=4,73.63n=4,102.06n=4,81.68n=4,8.34n=8,10.22n=8,3.80n=16,8.12n=8,8.20n=8,8.21n=8
17,ğŸ‡ºğŸ‡¸,Brown / Brown 27,0,1,2,0,0,180.89n=3,73.62n=3,100.26n=3,80.63n=3,7.60n=6,10.27n=6,3.91n=12,8.11n=6,8.13n=6,7.98n=6
18,ğŸ‡«ğŸ‡·,Demougeot / Le Mercier 12,0,1,2,0,0,180.66n=3,75.57n=3,99.85n=3,80.81n=3,8.04n=6,9.65n=6,3.42n=12,8.06n=6,8.12n=6,8.01n=6
19,ğŸ‡«ğŸ‡®,Orihara / Pirinen 20,0,2,2,0,0,179.48n=4,74.13n=4,101.30n=4,78.17n=4,8.46n=8,9.43n=8,4.28n=16,7.85n=8,7.96n=8,7.61n=8
20,ğŸ‡°ğŸ‡·,Lim / Quan 16,0,2,2,0,0,178.84n=4,74.90n=4,101.48n=4,77.36n=4,8.84n=8,9.64n=8,3.69n=16,7.78n=8,7.74n=8,7.68n=8
21,ğŸ‡ºğŸ‡¸,Pate / Bye 25,0,2,2,0,0,178.59n=4,75.80n=4,100.70n=4,77.89n=4,8.73n=8,9.60n=8,3.55n=16,7.85n=8,7.85n=8,7.70n=8
22,ğŸ‡¨ğŸ‡¦,Fabbri / Ayer 37,0,2,2,0,0,177.11n=4,74.39n=4,98.83n=4,78.53n=4,7.99n=8,9.59n=8,3.46n=16,7.91n=8,7.85n=8,7.83n=8
23,ğŸ‡¨ğŸ‡¦,Lauriault / Le Gac 14,0,1,2,0,0,176.68n=3,73.67n=3,97.83n=3,78.84n=3,7.48n=6,9.77n=6,3.83n=12,8.06n=6,7.90n=6,7.79n=6
24,ğŸ‡ºğŸ‡¸,Neset / Markelov 18,0,2,2,0,0,175.68n=4,74.90n=4,98.68n=4,77.25n=4,7.43n=8,9.71n=8,3.68n=16,7.78n=8,7.76n=8,7.66n=8
25,ğŸ‡ºğŸ‡¸,Flores / Desyatov 59,0,1,0,0,0,174.32n=1,76.62n=1,97.98n=1,76.34n=1,7.94n=2,9.28n=2,3.28n=4,7.70n=2,7.62n=2,7.48n=2
26,ğŸ‡©ğŸ‡ª,vRensburg / Steffan 24,0,2,1,0,0,174.22n=3,74.75n=3,97.04n=3,78.18n=3,8.05n=6,9.10n=6,3.18n=11,7.87n=6,7.88n=6,7.76n=6
27,ğŸ‡­ğŸ‡º,Ignateva / Szemko 46,0,2,0,0,0,173.02n=2,73.70n=2,97.48n=2,76.04n=2,8.26n=4,9.92n=4,3.46n=8,7.66n=4,7.68n=4,7.50n=4
28,ğŸ‡¬ğŸ‡§,Bekker / Hernandez 30,0,3,0,0,0,172.79n=3,75.70n=3,96.67n=3,76.12n=3,7.68n=6,9.88n=6,3.04n=12,7.63n=6,7.67n=6,7.50n=6
29,ğŸ‡«ğŸ‡·,Lagouge / Caffa 42,0,2,1,0,0,171.90n=3,75.53n=3,97.98n=3,73.93n=3,8.28n=6,9.86n=6,3.42n=12,7.37n=6,7.45n=6,7.31n=6
30,ğŸ‡ºğŸ‡¸,Morozov / Chen 97,0,1,1,0,0,171.89n=2,75.36n=2,96.63n=2,76.26n=2,8.61n=4,9.43n=4,2.81n=8,7.68n=4,7.66n=4,7.50n=4
31,ğŸ‡¦ğŸ‡º,Harris / Chan 29,0,2,1,0,0,170.73n=3,75.24n=3,96.06n=3,74.67n=3,7.83n=6,9.54n=6,3.17n=12,7.50n=6,7.50n=6,7.36n=6
32,ğŸ‡®ğŸ‡ª,Soucisse / Firus 38,0,2,0,0,1,169.94n=2,74.92n=2,96.44n=2,73.50n=2,6.95n=5,9.20n=5,3.32n=9,7.23n=4,7.34n=4,7.20n=4
33,ğŸ‡¸ğŸ‡°,PucherovÃ¡ / Lysak 66,0,3,0,0,0,168.65n=3,74.58n=3,95.71n=3,73.27n=3,8.32n=6,8.87n=6,3.10n=12,7.32n=6,7.37n=6,7.24n=6
34,ğŸ‡®ğŸ‡¹,Manni / RÃ¶thlisberger 39,0,3,0,0,0,168.48n=3,73.53n=3,94.98n=3,73.50n=3,8.20n=6,9.18n=6,3.21n=12,7.31n=6,7.38n=6,7.31n=6
35,ğŸ‡®ğŸ‡¹,Tali / Lafornara 34,3,0,0,0,0,166.90n=3,69.57n=3,91.04n=3,75.86n=3,8.58n=6,9.81n=6,3.36n=6,7.57n=6,7.58n=6,7.52n=6
36,ğŸ‡¸ğŸ‡ª,Reitan / Majorov 70,0,3,0,0,0,166.86n=3,74.66n=3,95.17n=3,71.70n=3,8.24n=6,9.06n=6,3.16n=12,7.16n=6,7.21n=6,7.00n=6
37,ğŸ‡¯ğŸ‡µ,Yoshida / Morita 62,0,1,1,0,0,166.48n=2,75.61n=2,93.57n=2,73.90n=2,8.11n=4,9.46n=4,2.62n=8,7.48n=4,7.40n=4,7.33n=4
38,ğŸ‡©ğŸ‡ª,Matthaei / Liebers 58,0,3,0,0,0,166.27n=3,75.36n=3,94.61n=3,71.66n=3,7.88n=6,9.27n=6,3.10n=12,7.12n=6,7.21n=6,7.15n=6
39,ğŸ‡®ğŸ‡±,Tkachenko / Kiliakov 28,0,1,1,0,0,164.22n=2,76.98n=2,92.15n=2,72.58n=2,7.95n=4,9.35n=4,2.60n=8,7.28n=4,7.22n=4,7.27n=4
40,ğŸ‡«ğŸ‡·,Dupayage / Nabais 31,0,2,2,0,0,163.60n=4,74.18n=4,90.44n=4,73.66n=4,6.82n=8,9.13n=8,2.85n=16,7.40n=8,7.36n=8,7.33n=8
41,ğŸ‡ºğŸ‡¦,Larson / Kapran 68,0,3,0,0,0,163.58n=3,75.95n=3,92.20n=3,71.38n=3,6.97n=6,9.32n=6,2.86n=12,7.12n=6,7.29n=6,6.98n=6
42,ğŸ‡ªğŸ‡¸,Val / Kazimov 56,0,2,0,0,0,162.78n=2,72.56n=2,90.86n=2,72.42n=2,8.38n=4,8.58n=4,2.90n=8,7.24n=4,7.29n=4,7.18n=4
43,ğŸ‡¨ğŸ‡¦,Hensen / Lickers 112,0,2,0,0,0,161.42n=2,74.74n=2,90.79n=2,70.62n=2,7.47n=4,8.91n=4,2.76n=8,7.09n=4,7.07n=4,7.00n=4
44,ğŸ‡®ğŸ‡±,Nosovitskaya / Nosovitskiy 51,0,1,0,0,0,161.23n=1,73.87n=1,91.60n=1,69.63n=1,7.60n=2,8.23n=2,3.13n=4,6.98n=2,7.00n=2,6.80n=2
45,ğŸ‡©ğŸ‡ª,Grimm / Savitskiy 32,3,1,0,0,0,159.72n=4,68.34n=4,86.49n=4,73.23n=4,8.13n=8,9.23n=8,2.86n=10,7.34n=8,7.33n=8,7.26n=8
46,ğŸ‡ºğŸ‡¦,Pidgaina / Koval 35,3,0,0,0,0,159.19n=3,67.91n=3,86.21n=3,72.99n=3,8.71n=6,9.67n=6,2.84n=6,7.28n=6,7.20n=6,7.40n=6
47,ğŸ‡ºğŸ‡¸,Wolfkostin / Tsarevski 44,3,0,0,0,1,158.93n=3,67.75n=3,85.56n=3,73.71n=3,7.76n=7,9.79n=7,3.43n=6,7.36n=6,7.43n=6,7.26n=6
48,ğŸ‡ºğŸ‡¸,Mullen / Mullen 55,2,0,0,0,0,158.79n=2,69.92n=2,88.13n=2,70.66n=2,8.49n=4,9.69n=4,3.03n=4,7.08n=4,7.04n=4,6.98n=4
49,ğŸ‡¸ğŸ‡°,Simova / Aksenov 47,0,2,0,0,0,158.76n=2,73.06n=2,88.57n=2,70.20n=2,8.14n=4,8.14n=4,2.79n=8,7.00n=4,7.15n=4,6.86n=4
50,ğŸ‡ºğŸ‡¸,Aboian / Veselukhin 67,2,0,0,0,0,158.04n=2,68.24n=2,86.74n=2,71.30n=2,8.79n=4,9.70n=4,2.96n=4,7.08n=4,7.06n=4,7.12n=4
51,ğŸ‡«ğŸ‡·,Fradji / Fourneaux 23,3,0,0,0,0,157.74n=3,66.58n=3,84.66n=3,73.41n=3,8.39n=6,9.81n=6,2.55n=6,7.46n=6,7.39n=6,7.17n=6
52,ğŸ‡«ğŸ‡·,Terreaux / Perron 61,0,2,0,0,1,157.60n=2,72.46n=2,89.00n=2,69.61n=2,7.42n=5,8.78n=5,3.08n=9,6.85n=4,6.94n=4,6.84n=4
53,ğŸ‡®ğŸ‡¹,Paolino / Tuba 64,0,2,0,0,0,155.90n=2,74.74n=2,89.33n=2,66.57n=2,8.00n=4,8.49n=4,2.30n=8,6.69n=4,6.66n=4,6.55n=4
54,ğŸ‡®ğŸ‡¹,Dozzi / Papetti 63,0,2,0,0,0,155.26n=2,71.59n=2,87.15n=2,68.12n=2,7.10n=4,8.50n=4,2.71n=8,6.88n=4,6.84n=4,6.71n=4
55,ğŸ‡¨ğŸ‡¾,Kudryavtseva / Karankevich 72,0,2,0,0,0,154.54n=2,69.00n=2,84.52n=2,70.02n=2,6.33n=4,8.66n=4,2.83n=8,7.03n=4,7.06n=4,6.93n=4
56,ğŸ‡¨ğŸ‡¦,Bashynska / Beaumont 54,0,2,0,0,0,154.32n=2,74.06n=2,87.02n=2,68.30n=2,7.32n=4,8.54n=4,2.19n=8,6.95n=4,6.81n=4,6.83n=4
57,ğŸ‡¨ğŸ‡¦,Gauthier / Thieren 48,2,0,0,0,0,154.32n=2,67.18n=2,83.72n=2,70.60n=2,7.54n=4,9.26n=4,3.08n=4,7.12n=4,7.08n=4,6.88n=4
58,ğŸ‡±ğŸ‡¹,Ramanauskaite / Kizala 45,0,2,0,0,0,153.84n=2,70.58n=2,85.68n=2,69.16n=2,8.11n=4,8.23n=4,2.71n=8,6.95n=4,6.94n=4,6.89n=4
59,ğŸ‡«ğŸ‡·,P-Gianesini / B-Klaperman 41,2,0,0,0,0,153.16n=2,65.30n=2,81.72n=2,71.44n=2,8.20n=4,9.34n=4,2.69n=4,7.17n=4,7.18n=4,7.00n=4
60,ğŸ‡ºğŸ‡¦,Pinchuk / Pogorielov 26,0,3,1,0,0,152.14n=4,71.59n=4,84.04n=4,69.34n=4,6.27n=8,8.57n=8,2.57n=16,7.05n=8,6.93n=8,6.88n=8
61,ğŸ‡ºğŸ‡¸,Peal / Peal 36,3,0,0,0,0,152.04n=3,66.86n=3,81.08n=3,70.96n=3,8.45n=6,9.21n=6,2.50n=6,7.12n=6,7.16n=6,6.98n=6
62,ğŸ‡¨ğŸ‡³,Ren / Xing,0,2,1,0,0,152.02n=3,73.95n=3,86.70n=3,65.32n=3,7.05n=6,8.18n=6,2.68n=12,6.46n=6,6.49n=6,6.57n=6
63,ğŸ‡«ğŸ‡·,Bordet / Chardain 71,2,0,0,0,0,151.95n=2,68.93n=2,84.10n=2,67.84n=2,8.06n=4,9.19n=4,2.52n=4,6.76n=4,6.81n=4,6.68n=4
64,ğŸ‡¯ğŸ‡µ,Tanaka / Nishiyama 94,0,0,1,0,0,151.27n=1,74.75n=1,84.13n=1,68.14n=1,7.52n=2,8.13n=2,2.06n=4,6.91n=2,6.88n=2,6.68n=2
65,ğŸ‡¨ğŸ‡­,Zehnder / Sieber 33,2,0,0,0,0,149.94n=2,64.37n=2,79.07n=2,70.86n=2,8.22n=4,9.07n=4,2.36n=4,7.22n=4,7.08n=4,6.99n=4
66,ğŸ‡«ğŸ‡·,Mouaden / Bigot 40,2,0,0,0,0,148.98n=2,66.36n=2,80.67n=2,68.32n=2,8.47n=4,9.22n=4,2.34n=4,6.86n=4,6.94n=4,6.69n=4
67,ğŸ‡¨ğŸ‡¦,Nguyen / Giang 43,2,0,0,0,0,148.88n=2,67.43n=2,81.69n=2,67.68n=2,8.06n=4,9.26n=4,2.43n=4,6.85n=4,6.72n=4,6.68n=4
68,ğŸ‡©ğŸ‡ª,Karl / Hoferichter 95,0,2,0,0,1,147.18n=2,71.96n=2,83.51n=2,63.66n=2,7.26n=5,8.39n=5,2.38n=9,6.25n=4,6.15n=4,6.27n=4
69,ğŸ‡¨ğŸ‡¦,Veillon / Brandys 53,2,0,0,0,0,146.60n=2,63.94n=2,80.12n=2,67.48n=2,7.91n=4,9.15n=4,2.62n=4,6.76n=4,6.75n=4,6.65n=4
70,ğŸ‡¨ğŸ‡³,Xiao / He,0,2,1,0,0,146.40n=3,72.60n=3,83.59n=3,63.48n=3,7.59n=6,8.03n=6,2.42n=12,6.40n=6,6.30n=6,6.34n=6
71,ğŸ‡­ğŸ‡º,Hancock / Fourati 75,0,2,0,0,0,143.48n=2,72.93n=2,82.16n=2,62.31n=2,7.43n=4,7.63n=4,2.21n=8,6.24n=4,6.26n=4,6.18n=4
72,ğŸ‡®ğŸ‡¹,Argentieri / Riva,0,3,0,0,0,141.80n=3,73.08n=3,82.11n=3,60.70n=3,7.13n=6,7.70n=6,1.95n=12,6.18n=6,6.06n=6,5.98n=6
73,ğŸ‡ºğŸ‡¸,Ilin / Cain 69,2,0,0,0,0,139.68n=2,67.50n=2,76.23n=2,63.45n=2,7.05n=4,8.68n=4,2.16n=4,6.40n=4,6.24n=4,6.34n=4
74,ğŸ‡®ğŸ‡±,Ichilov / Kravchenko 113,0,2,0,0,0,139.58n=2,70.34n=2,78.22n=2,61.36n=2,7.18n=4,7.75n=4,2.24n=8,6.24n=4,6.12n=4,6.11n=4
75,ğŸ‡µğŸ‡±,Dovhal / Kulesza 49,2,2,0,0,0,139.26n=4,67.38n=4,77.03n=4,62.47n=4,6.69n=8,8.35n=8,2.21n=12,6.34n=8,6.22n=8,6.15n=8
76,ğŸ‡®ğŸ‡¹,Finelli / Bucciarelli 78,2,0,0,0,0,138.34n=2,62.95n=2,73.26n=2,65.58n=2,7.61n=4,8.45n=4,1.96n=3,6.62n=4,6.61n=4,6.41n=4
